Taxon_full,Taxon,community,bio1,bio2,bio7,FDD,GDD,Snw
Agrostis tileni,Agrostis tileni,Mediterranean,5.476457578,4.70711553,24.14442347,37.30647841,1604.374031,29.31229236
Arabis cf. auriculata,Arabis auriculata,Mediterranean,7.210597858,6.352122759,29.26686217,7.840909091,2033.738095,17.72727273
Armeria duriaei,Armeria duriaei,Mediterranean,6.334178828,5.607555393,26.46292887,14.28031561,1850.178291,23.7358804
Avenella flexuosa subsp. iberica,Avenella flexuosa,Mediterranean,6.721225035,5.602811989,25.11271309,2.127651515,1928.59421,6.822727273
Biscutella laevigata,Biscutella laevigata,Mediterranean,7.862578848,7.835258809,30.44485112,2.66025641,2215.431319,14.69230769
Calluna vulgaris,Calluna vulgaris,Mediterranean,5.466420363,4.44817736,22.75806452,15.41666667,1633.25,36
Cerastium sp cf,Cerastium ramosissimum,Mediterranean,6.002640065,5.604181008,26.49343647,21.46666667,1722.072789,12.77142857
Conopodium majus subsp. marizianum,Conopodium majus,Mediterranean,7.03093267,5.019689435,24.06292835,2.137096774,1933.779906,8.830645161
Cryptogramma crispa,Cryptogramma crispa,Mediterranean,3.839628086,2.61138988,17.73306452,66.91666667,1095.369048,86
Cytisus oromediterraneus,Cytisus oromediterraneus,Mediterranean,7.089612074,5.843614313,25.78729631,0.951237263,2029.069869,4.742358079
Dianthus langeanus,Dianthus langeanus,Mediterranean,6.713412513,5.888209322,26.81454975,7.546358231,1957.442746,26.00222965
Festuca rubra,Festuca rubra,Mediterranean,5.853224785,6.217331583,26.44354652,27.15698128,1685.90297,21.19812793
Festuca summilusitana,Festuca summilusitana,Mediterranean,6.321243073,5.480819978,26.42456448,20.15787767,1807.277031,21.74816965
Galium cf. pumilum subsp. pinetorum,Galium pumilum,Mediterranean,5.228945114,3.915164674,19.93548387,5.583333333,1528.880952,37
Gentiana lutea subsp. lutea,Gentiana lutea,Mediterranean,5.525247826,4.784158315,24.56823821,31.25,1692.261905,66
Helictochloa marginata,Helictochloa marginata,Mediterranean,7.325968157,6.030316522,25.47176946,2.186950147,2092.966415,4.302052786
Jasione laevis,Jasione laevis,Mediterranean,5.980230224,5.262876085,24.51453582,14.04266212,1761.320453,36.10921502
Juniperus communis subsp. nana,Juniperus communis,Mediterranean,5.649397251,4.302377944,22.39165975,24.58260362,1625.301747,24.34500876
Jurinea humilis,Jurinea humilis,Mediterranean,7.196307046,7.264933193,31.4766129,10.18390805,2063.969951,15.96551724
Koeleria crassipes,Koeleria crassipes,Mediterranean,7.173074553,6.987695231,28.81882013,3.673913043,2026.690476,44.79347826
Linaria supina,Linaria supina,Mediterranean,4.349929595,2.099133931,16.20967742,26.25,1304.452381,65
Luzula caespitosa,Luzula caespitosa,Mediterranean,5.444135541,4.788995926,24.28859488,40.10741365,1593.713752,40.47262005
Minuartia recurva,Minuartia recurva,Mediterranean,7.261465003,9.740534779,39.27607694,13.91718427,2045.066844,24.47204969
Neoschischkinia truncatula subsp. durieui,Neoschischkinia truncatula,Mediterranean,6.758437025,6.849739809,30.67014665,12.25312041,1946.089338,30.46475771
Phalacrocarpum oppositifolium subsp. anomalum,Phalacrocarpum oppositifolium,Mediterranean,6.07339088,5.038409409,24.32739767,7.804509132,1733.472444,25.90410959
Phyteuma hemisphaericum,Phyteuma hemisphaericum,Mediterranean,5.900292321,6.224395419,26.30558081,18.98809524,1743.689293,27.98136646
Pilosella cf. hypeurya,Pilosella hypeurya,Mediterranean,7.742791428,7.82144361,33.03720083,4.35483871,2197.672043,27.16129032
Plantago holosteum,Plantago holosteum,Mediterranean,7.033736106,7.429471765,31.16134248,30.30306799,2003.097489,18.65671642
Rumex acetosella subsp. angiocarpus,Rumex acetosella,Mediterranean,6.717596481,6.17998842,28.17667334,1.631147541,1839.394223,15.27868852
Rumex suffruticosus,Rumex suffruticosus,Mediterranean,7.280175446,6.739575975,28.63709677,2.385416667,2047.572917,44.625
Saxifraga cf. granulata,Saxifraga granulata,Mediterranean,7.790389091,6.606698946,28.29032258,0,2249.802381,1
Saxifraga fragosoi,Saxifraga fragosoi,Mediterranean,7.38189119,7.840817425,30.03405018,3.305555556,2069.920635,30.66666667
Saxifraga spathularis,Saxifraga spathularis,Mediterranean,3.371274641,2.171342377,17.58951613,107.5,959.0833333,3
Scilla verna,Scilla verna,Mediterranean,6.117735157,4.199976595,22.28508065,4.208333333,1676.660714,4.5
Scorzoneroides cantabrica,Scorzoneroides cantabrica,Mediterranean,4.634541039,3.721370361,21.07858739,61.93232044,1380.242042,35.48618785
Sedum anglicum subsp. pyrenaicum,Sedum anglicum,Mediterranean,6.018666242,4.56756281,23.99064743,23.76092896,1649.449454,12.67213115
Sedum brevifolium,Sedum brevifolium,Mediterranean,6.979685165,5.954116426,28.16639001,16.17513714,2022.407959,20.06679574
Sedum candolleanum,Sedum candolleanum,Mediterranean,5.447477255,3.581797235,24.50403226,32.33333333,1559.047619,48
Sempervivum arachnoideum,Sempervivum arachnoideum,Mediterranean,6.02009974,5.734054124,25.42887586,22.88434343,1714.835498,25.9030303
Silene cf. nutans,Silene nutans,Mediterranean,7.879930021,6.142146758,28.22580645,0,2190.852381,19
Silene ciliata,Silene ciliata,Mediterranean,5.005002813,3.487084286,20.97149449,37.09015421,1506.826597,53.53024911
Silene foetida subsp. gayana,Silene foetida,Mediterranean,7.500797001,6.707211957,28.90322581,0.666666667,2092.666667,39
Solidago virgaurea subsp. virgaurea,Solidago virgaurea,Mediterranean,8.049585097,3.936803038,22.58467742,6.916666667,2295.02381,3
Spergula morisonii,Spergula morisonii,Mediterranean,6.989184614,3.795345227,22.42763057,0.208333333,1799.339286,4.5
Teesdalia conferta,Teesdalia conferta,Mediterranean,6.928712443,6.582173499,27.86475161,0.047619048,1976.159184,8.142857143
Thymus praecox subsp. ligusticus,Thymus praecox,Mediterranean,6.809777913,6.511495447,28.14805339,8.057471264,1966.766831,18.77586207
Vaccinium myrtillus,Vaccinium myrtillus,Mediterranean,3.682192295,3.042662241,19.03467742,111.75,1055.333333,0
