,oil_type,variable,n,min,max,median,q1,q3,iqr,mad,mean,sd,se,ci
3,C15.0,oil_type_PER,36,0,0.07,0,0,0,0,0,0.002,0.012,0.002,0.004
19,C22.2n6,oil_type_PER,36,0,0.45,0,0,0,0,0,0.013,0.075,0.013,0.025
13,C18.4n3,oil_type_PER,36,0,0.34,0,0,0,0,0,0.04,0.093,0.015,0.031
1,C12.0,oil_type_PER,36,0,0.55,0,0,0,0,0,0.041,0.128,0.021,0.043
16,C20.2n6,oil_type_PER,36,0,0.54,0,0,0.105,0.105,0,0.069,0.113,0.019,0.038
6,C17.0,oil_type_PER,36,0,0.32,0.075,0.022,0.15,0.128,0.111,0.096,0.086,0.014,0.029
5,C16.1n7,oil_type_PER,36,0,1.02,0.09,0.078,0.143,0.065,0.059,0.135,0.179,0.03,0.061
2,C14.0,oil_type_PER,36,0,0.93,0.115,0.048,0.212,0.165,0.133,0.164,0.192,0.032,0.065
20,C24.0,oil_type_PER,36,0,0.58,0.225,0.048,0.422,0.375,0.274,0.24,0.197,0.033,0.067
17,C22.0,oil_type_PER,36,0,0.79,0.225,0.117,0.413,0.295,0.185,0.281,0.203,0.034,0.069
14,C20.0,oil_type_PER,36,0.03,2.61,0.375,0.26,0.542,0.282,0.208,0.454,0.431,0.072,0.146
18,C22.1n9,oil_type_PER,36,0,29.5,0,0,0,0,0,0.873,4.913,0.819,1.662
15,C20.1n9,oil_type_PER,36,0,9.78,0.425,0.27,0.62,0.35,0.282,0.898,1.848,0.308,0.625
8,C18.1n7c,oil_type_PER,36,0.46,2.37,0.87,0.625,1.082,0.458,0.341,0.938,0.407,0.068,0.138
12,C18.3n6,oil_type_PER,36,0,15.16,0,0,1.062,1.062,0,1.051,2.854,0.476,0.966
7,C18.0,oil_type_PER,36,0.56,4.01,1.93,1.355,2.465,1.11,0.83,2.014,0.889,0.148,0.301
4,C16.0,oil_type_PER,36,5.01,20.63,9.36,7.463,12.863,5.4,3.41,10.566,3.951,0.659,1.337
11,C18.3n3,oil_type_PER,36,0.2,59.61,5.965,1.602,32.957,31.355,7.628,16.199,19.308,3.218,6.533
9,C18.1n9c,oil_type_PER,36,6.59,67.76,19.425,16.185,28.925,12.74,8.451,22.869,13.301,2.217,4.501
10,C18.2n6c,oil_type_PER,36,15.11,74.4,44.065,30.835,53.373,22.538,18.851,43.058,16.138,2.69,5.46
